tran_id,created_date,reached_bo_date,item_manufacturer,item_name,so_line,so_quantity,bo_quantity,item_curve,item_buyer,field,bo_status,new_value,is_dropship,IsUnder,IsAfter,Buckets,Hours 2,MAX so_amount,Under 48 hours,After 48 Hours
SO210428,03/24/2026 04:24:05.000 PM,03/24/2026 08:03:15.000 PM,LINIAN,2LCG0911CT300,2,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,3,6,1,0
SO210434,03/24/2026 04:31:41.000 PM,03/24/2026 05:41:25.000 PM,GeoFire,3-87-0551,1,10,10,CZ,Arthur Malheiro,Allocated Supply,Purchased,10,F,T,F,I. Others,1,327,1,0
SO210451,03/24/2026 04:55:51.000 PM,03/24/2026 04:55:52.000 PM,Lumi-Plugin,LS110WHMBWSA,1,1,0,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,76,1,0
SO210451,03/24/2026 04:55:51.000 PM,03/25/2026 02:37:49.000 PM,Lumi-Plugin,LS110WHMBWSA,1,1,0,CZ,Arthur Malheiro,Committed,Purchased,1,F,T,F,C. 13 a 24h,21,76,1,0
SO210568,03/24/2026 08:40:41.000 PM,03/24/2026 08:48:34.000 PM,Jewel Fire Group,3FX,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,22,1,0
SO210627,03/25/2026 10:01:36.000 AM,03/25/2026 11:36:15.000 AM,Jewel Fire Group,6PX,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,I. Others,1,25,1,0
SO210628,03/25/2026 10:23:09.000 AM,03/25/2026 01:05:10.000 PM,Hochiki,DFG-60BLKJ,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,2,56,1,0
SO210630,03/25/2026 11:01:27.000 AM,03/25/2026 11:01:29.000 AM,CheckFire,RX-SQT-002-ECF,2,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,18,1,0
SO210637,03/25/2026 11:31:30.000 AM,03/25/2026 10:00:08.000 PM,FireBlitz,FBA-G2,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,8,112,1,0
SO210646,03/25/2026 12:41:05.000 PM,03/25/2026 01:05:10.000 PM,Hochiki,ALN-EN,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,49,1,0
SO210649,03/25/2026 12:52:46.000 PM,03/25/2026 10:36:17.000 PM,Fire-Lite,BAT-12120-BP,1,5,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,5,F,T,F,B. 1 a 12h,9,"3,415",1,0
SO210652,03/25/2026 01:00:50.000 PM,03/25/2026 01:05:06.000 PM,Zeta,ID2-HR,1,3,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,84,1,0
SO210667,03/25/2026 01:46:23.000 PM,03/25/2026 01:51:30.000 PM,Lumi-Plugin,LS110WHMBWSA,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,76,1,0
SO210681,03/25/2026 02:13:40.000 PM,03/25/2026 02:15:20.000 PM,Edwards,SIGA-SD,6,1,1,AX,Lorena Galvao,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,198,1,0
